,province,area,code_num
24,重庆市,城口县,500229000000
32,海南省,文昌市,469005000000
68,重庆市,铜梁县,500224000000
71,重庆市,黔江区,500114000000
80,天津市,南开区,120104000000
105,北京市,密云县,110228000000
114,天津市,静海县,120223000000
147,天津市,大港区,120109000000
148,北京市,顺义区,110113000000
159,天津市,北辰区,120113000000
209,重庆市,江北区,500105000000
301,重庆市,忠县,500233000000
307,上海市,宝山区,310113000000
310,重庆市,巫溪县,500238000000
320,上海市,嘉定区,310114000000
421,重庆市,北碚区,500109000000
539,湖北省,仙桃市,429004000000
556,新疆维吾尔自治区,石河子市,659001000000
562,重庆市,大渡口区,500104000000
563,天津市,武清区,120114000000
586,上海市,虹口区,310109000000
592,重庆市,潼南县,500223000000
610,上海市,徐汇区,310104000000
617,重庆市,梁平县,500228000000
659,重庆市,大足县,500225000000
687,海南省,五指山市,469001000000
716,海南省,万宁市,469006000000
741,上海市,长宁区,310105000000
803,上海市,卢湾区,310103000000
859,北京市,延庆县,110229000000
899,海南省,屯昌县,469022000000
912,重庆市,万州区,500101000000
916,天津市,津南区,120112000000
951,重庆市,万盛区,500110000000
975,天津市,汉沽区,120108000000
1004,上海市,浦东新区,310115000000
1031,上海市,松江区,310117000000
1042,北京市,西城区,110102000000
1108,重庆市,巫山县,500237000000
1162,重庆市,渝北区,500112000000
1184,海南省,临高县,469024000000
1269,上海市,南汇区,310119000000
1277,北京市,平谷区,110117000000
1284,北京市,房山区,110111000000
1296,北京市,宣武区,110104000000
1330,海南省,陵水黎族自治县,469028000000
1365,天津市,蓟县,120225000000
1369,北京市,海淀区,110108000000
1401,重庆市,永川区,500118000000
1405,河南省,济源市,419001000000
1419,重庆市,江津区,500116000000
1424,天津市,宁河县,120221000000
1472,重庆市,石柱土家族自治县,500240000000
1499,上海市,奉贤区,310120000000
1565,重庆市,酉阳土家族苗族自治县,500242000000
1580,上海市,金山区,310116000000
1658,北京市,东城区,110101000000
1671,重庆市,涪陵区,500102000000
1685,海南省,定安县,469021000000
1716,新疆维吾尔自治区,图木舒克市,659003000000
1729,重庆市,九龙坡区,500107000000
1742,海南省,琼中黎族苗族自治县,469030000000
1757,北京市,丰台区,110106000000
1760,湖北省,天门市,429006000000
1787,海南省,昌江黎族自治县,469026000000
1818,北京市,大兴区,110115000000
1822,天津市,和平区,120101000000
1866,天津市,红桥区,120106000000
1887,重庆市,垫江县,500231000000
1986,重庆市,奉节县,500236000000
2009,重庆市,丰都县,500230000000
2033,天津市,河东区,120102000000
2035,重庆市,云阳县,500235000000
2048,天津市,塘沽区,120107000000
2050,重庆市,綦江县,500222000000
2053,重庆市,璧山县,500227000000
2076,天津市,东丽区,120110000000
2090,上海市,黄浦区,310101000000
2119,重庆市,南岸区,500108000000
2137,新疆维吾尔自治区,阿拉尔市,659002000000
2140,天津市,西青区,120111000000
2193,重庆市,渝中区,500103000000
2201,天津市,宝坻区,120115000000
2297,重庆市,荣昌县,500226000000
2318,上海市,静安区,310106000000
2329,海南省,东方市,469007000000
2362,上海市,崇明县,310230000000
2370,上海市,闸北区,310108000000
2383,海南省,琼海市,469002000000
2389,海南省,儋州市,469003000000
2398,上海市,普陀区,310107000000
2415,北京市,昌平区,110114000000
2481,新疆维吾尔自治区,五家渠市,659004000000
2483,重庆市,武隆县,500232000000
2500,重庆市,长寿区,500115000000
2516,海南省,乐东黎族自治县,469027000000
2542,湖北省,潜江市,429005000000
2545,天津市,河北区,120105000000
2552,北京市,朝阳区,110105000000
2583,重庆市,沙坪坝区,500106000000
2632,北京市,石景山区,110107000000
2652,上海市,杨浦区,310110000000
2686,湖北省,神农架林区,429021000000
2714,天津市,河西区,120103000000
2769,重庆市,开县,500234000000
2820,上海市,闵行区,310112000000
2831,重庆市,彭水苗族土家族自治县,500243000000
2842,重庆市,合川区,500117000000
2851,海南省,保亭黎族苗族自治县,469029000000
2892,北京市,崇文区,110103000000
2908,上海市,青浦区,310118000000
2961,北京市,怀柔区,110116000000
2981,重庆市,双桥区,500111000000
2984,北京市,门头沟区,110109000000
3007,海南省,白沙黎族自治县,469025000000
3008,北京市,通州区,110112000000
3054,重庆市,巴南区,500113000000
3059,海南省,澄迈县,469023000000
3168,重庆市,南川区,500119000000
3187,重庆市,秀山土家族苗族自治县,500241000000
