,province,city,code_num
5,河北省,唐山市,130200000000
8,山西省,吕梁市,141100000000
18,陕西省,商洛市,611000000000
26,山东省,聊城市,371500000000
28,黑龙江省,黑河市,231100000000
29,湖南省,郴州市,431000000000
34,湖北省,武汉市,420100000000
42,吉林省,白城市,220800000000
48,江西省,鹰潭市,360600000000
66,四川省,绵阳市,510700000000
74,吉林省,吉林市,220200000000
76,河南省,驻马店市,411700000000
89,广西壮族自治区,防城港市,450600000000
90,四川省,成都市,510100000000
97,河北省,承德市,130800000000
108,浙江省,金华市,330700000000
125,辽宁省,铁岭市,211200000000
131,河南省,漯河市,411100000000
141,安徽省,铜陵市,340700000000
155,甘肃省,武威市,620600000000
157,安徽省,合肥市,340100000000
167,浙江省,杭州市,330100000000
171,陕西省,汉中市,610700000000
193,福建省,漳州市,350600000000
204,辽宁省,大连市,210200000000
218,广东省,佛山市,440600000000
223,湖南省,长沙市,430100000000
229,山西省,运城市,140800000000
230,青海省,海南藏族自治州,632500000000
235,黑龙江省,齐齐哈尔市,230200000000
243,江苏省,淮安市,320800000000
244,广东省,云浮市,445300000000
260,山东省,烟台市,370600000000
269,四川省,内江市,511000000000
284,河南省,焦作市,410800000000
299,辽宁省,阜新市,210900000000
303,内蒙古自治区,呼和浩特市,150100000000
304,安徽省,亳州市,341600000000
315,山西省,太原市,140100000000
331,江苏省,镇江市,321100000000
343,浙江省,丽水市,331100000000
361,贵州省,黔东南苗族侗族自治州,522600000000
367,云南省,丽江市,530700000000
374,河南省,郑州市,410100000000
389,广西壮族自治区,百色市,451000000000
392,福建省,福州市,350100000000
405,甘肃省,张掖市,620700000000
430,山西省,晋中市,140700000000
448,福建省,南平市,350700000000
456,安徽省,池州市,341700000000
461,广东省,广州市,440100000000
468,四川省,乐山市,511100000000
469,河南省,周口市,411600000000
488,黑龙江省,哈尔滨市,230100000000
492,江西省,新余市,360500000000
493,河北省,沧州市,130900000000
512,新疆维吾尔自治区,塔城地区,654200000000
527,浙江省,宁波市,330200000000
537,四川省,达州市,511700000000
542,云南省,迪庆藏族自治州,533400000000
544,河南省,许昌市,411000000000
548,广西壮族自治区,钦州市,450700000000
555,甘肃省,兰州市,620100000000
567,山西省,临汾市,141000000000
583,贵州省,贵阳市,520100000000
591,新疆维吾尔自治区,阿勒泰地区,654300000000
605,江苏省,泰州市,321200000000
608,浙江省,绍兴市,330600000000
645,四川省,广安市,511600000000
651,湖南省,常德市,430700000000
657,山东省,威海市,371000000000
661,山西省,大同市,140200000000
665,广东省,汕头市,440500000000
666,湖南省,永州市,431100000000
670,黑龙江省,大兴安岭地区,232700000000
674,青海省,果洛藏族自治州,632600000000
677,四川省,资阳市,512000000000
680,河南省,新乡市,410700000000
692,河南省,开封市,410200000000
722,云南省,红河哈尼族彝族自治州,532500000000
724,吉林省,四平市,220300000000
739,浙江省,台州市,331000000000
751,西藏自治区,拉萨市,540100000000
757,甘肃省,庆阳市,621000000000
768,四川省,广元市,510800000000
778,山东省,济南市,370100000000
779,四川省,宜宾市,511500000000
812,山东省,潍坊市,370700000000
818,辽宁省,锦州市,210700000000
825,陕西省,铜川市,610200000000
839,青海省,黄南藏族自治州,632300000000
842,江苏省,盐城市,320900000000
857,江苏省,徐州市,320300000000
861,宁夏回族自治区,固原市,640400000000
875,江西省,上饶市,361100000000
880,西藏自治区,日喀则地区,542300000000
892,广东省,韶关市,440200000000
897,广东省,揭阳市,445200000000
905,福建省,泉州市,350500000000
918,山西省,阳泉市,140300000000
931,河南省,濮阳市,410900000000
945,湖北省,孝感市,420900000000
961,内蒙古自治区,乌海市,150300000000
968,广西壮族自治区,南宁市,450100000000
971,江西省,南昌市,360100000000
