,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
0,134,135,四川省,宜宾市,南溪县,,,511522000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,510000000000,511500000000,511522000000
1,286,287,贵州省,铜仁地区,万山特区,,,522230000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522230000000
2,393,394,安徽省,巢湖市,庐江县,,,341421000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,340000000000,341400000000,341421000000
3,633,634,贵州省,毕节地区,大方县,,,522422000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522422000000
4,654,655,安徽省,巢湖市,无为县,,,341422000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,340000000000,341400000000,341422000000
6,669,670,贵州省,毕节地区,黔西县,,,522423000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522423000000
7,728,729,江苏省,扬州市,江都市,,,321088000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,320000000000,321000000000,321088000000
8,755,756,贵州省,毕节地区,赫章县,,,522428000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522428000000
9,762,763,贵州省,毕节地区,威宁彝族回族苗族自治县,,,522427000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522427000000
11,808,809,安徽省,巢湖市,居巢区,,,341402000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,340000000000,341400000000,341402000000
12,882,883,贵州省,铜仁地区,德江县,,,522227000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522227000000
15,1247,1248,贵州省,铜仁地区,思南县,,,522225000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522225000000
16,1276,1277,湖南省,长沙市,望城县,,,430122000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,430000000000,430100000000,430122000000
17,1338,1339,贵州省,铜仁地区,松桃苗族自治县,,,522229000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522229000000
18,1581,1582,江苏省,扬州市,维扬区,,,321011000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,320000000000,321000000000,321011000000
19,1638,1639,贵州省,铜仁地区,玉屏侗族自治县,,,522223000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522223000000
20,1691,1692,贵州省,铜仁地区,沿河土家族自治县,,,522228000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522228000000
21,1783,1784,江苏省,淮安市,楚州区,,,320803000000,12/21/2017 11:19:22,12/21/2017 14:52:05,12/31/2010,名称变更,320000000000,320800000000,320803000000
22,1846,1847,贵州省,毕节地区,毕节市,,,522401000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522401000000
24,2200,2201,云南省,昆明市,呈贡县,,,530121000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,530000000000,530100000000,530121000000
25,2246,2247,贵州省,毕节地区,织金县,,,522425000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522425000000
27,2321,2322,安徽省,巢湖市,和县,,,341424000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,340000000000,341400000000,341424000000
28,2348,2349,贵州省,毕节地区,金沙县,,,522424000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522424000000
30,2432,2433,贵州省,毕节地区,纳雍县,,,522426000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522400000000,522426000000
31,2462,2463,安徽省,巢湖市,含山县,,,341423000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,340000000000,341400000000,341423000000
32,2484,2485,贵州省,铜仁地区,铜仁市,,,522201000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522201000000
34,3092,3093,贵州省,铜仁地区,印江土家族苗族自治县,,,522226000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522226000000
35,3103,3104,贵州省,铜仁地区,石阡县,,,522224000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522224000000
36,3151,3152,贵州省,铜仁地区,江口县,,,522222000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,520000000000,522200000000,522222000000
