id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
1,吉林省,长春市,德惠市,,,220183000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
2,宁夏回族自治区,吴忠市,红寺堡区,,,640303000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
3,四川省,成都市,青羊区,,,510105000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
4,山东省,东营市,广饶县,,,370523000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
5,山西省,长治市,城区,,,140402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
6,江西省,萍乡市,莲花县,,,360321000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
7,河北省,唐山市,,,,130200000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
8,河北省,保定市,顺平县,,,130636000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
9,黑龙江省,哈尔滨市,依兰县,,,230123000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
10,山西省,吕梁市,,,,141100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
11,湖南省,衡阳市,南岳区,,,430412000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
12,江西省,宜春市,铜鼓县,,,360926000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
13,江苏省,连云港市,灌云县,,,320723000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
14,山东省,潍坊市,高密市,,,370785000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
15,山西省,太原市,娄烦县,,,140123000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
16,辽宁省,丹东市,振兴区,,,210603000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
17,湖南省,邵阳市,新邵县,,,430522000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
18,黑龙江省,牡丹江市,海林市,,,231083000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
19,福建省,南平市,松溪县,,,350724000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
20,陕西省,商洛市,,,,611000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
21,黑龙江省,佳木斯市,抚远县,,,230833000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
22,安徽省,马鞍山市,含山县,,,340522000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
23,甘肃省,陇南市,武都区,,,621202000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
24,广东省,茂名市,高州市,,,440981000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
25,河北省,邢台市,任县,,,130526000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
26,黑龙江省,鹤岗市,向阳区,,,230402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
27,重庆市,,城口县,,,500229000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
28,广西壮族自治区,河池市,宜州市,,,451281000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
29,山东省,聊城市,,,,371500000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
30,贵州省,遵义市,红花岗区,,,520302000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
31,黑龙江省,黑河市,,,,231100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
32,湖南省,郴州市,,,,431000000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
33,浙江省,台州市,天台县,,,331023000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
34,四川省,乐山市,沐川县,,,511129000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
35,海南省,,文昌市,,,469005000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
36,福建省,福州市,闽清县,,,350124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
37,湖北省,武汉市,,,,420100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
38,河南省,新乡市,长垣县,,,410728000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
39,贵州省,毕节市,黔西县,,,520522000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
40,河南省,商丘市,夏邑县,,,411426000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
41,云南省,迪庆藏族自治州,维西傈僳族自治县,,,533423000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
42,湖北省,武汉市,汉阳区,,,420105000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
43,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,652222000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
44,江西省,抚州市,崇仁县,,,361024000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
45,新疆维吾尔自治区,塔城地区,沙湾县,,,654223000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
46,吉林省,白城市,,,,220800000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
47,广西壮族自治区,玉林市,容县,,,450921000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
48,四川省,乐山市,井研县,,,511124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
49,安徽省,宣城市,旌德县,,,341825000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
50,河北省,石家庄市,晋州市,,,130183000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
51,江苏省,宿迁市,宿豫区,,,321311000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
52,江西省,鹰潭市,,,,360600000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
53,湖北省,十堰市,房县,,,420325000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
54,内蒙古自治区,赤峰市,敖汉旗,,,150430000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
55,甘肃省,张掖市,高台县,,,620724000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
56,山西省,晋中市,和顺县,,,140723000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
57,河北省,保定市,定州市,,,130682000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
58,陕西省,渭南市,潼关县,,,610522000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
59,西藏自治区,那曲地区,班戈县,,,542428000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
60,陕西省,安康市,汉滨区,,,610902000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
61,河北省,邢台市,邢台县,,,130521000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
62,广西壮族自治区,百色市,德保县,,,451024000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
63,贵州省,黔东南苗族侗族自治州,从江县,,,522633000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
64,江苏省,苏州市,姑苏区,,,320508000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增
65,福建省,泉州市,洛江区,,,350504000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
66,广东省,珠海市,斗门区,,,440403000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
67,陕西省,延安市,富县,,,610628000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
68,湖北省,黄冈市,英山县,,,421124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
69,江苏省,常州市,天宁区,,,320402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
70,西藏自治区,日喀则地区,南木林县,,,542322000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
71,四川省,绵阳市,,,,510700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
72,四川省,阿坝藏族羌族自治州,壤塘县,,,513230000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
73,重庆市,,铜梁县,,,500224000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
