,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
70,71,西藏自治区,日喀则地区,南木林县,,,542322000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,540000000000,542300000000,542322000000
73,74,重庆市,,铜梁县,,,500224000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,500000000000,500200000000,500224000000
130,131,广东省,云浮市,云安县,,,445323000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,440000000000,445300000000,445323000000
141,142,河南省,开封市,开封县,,,410224000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,410000000000,410200000000,410224000000
217,218,山东省,滨州市,沾化县,,,371624000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,370000000000,371600000000,371624000000
283,284,西藏自治区,昌都地区,丁青县,,,542125000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,540000000000,542100000000,542125000000
291,292,江苏省,连云港市,新浦区,,,320705000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,320000000000,320700000000,320705000000
358,359,贵州省,安顺市,平坝县,,,520421000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,520000000000,520400000000,520421000000
377,378,西藏自治区,日喀则地区,昂仁县,,,542327000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,540000000000,542300000000,542327000000
449,450,西藏自治区,日喀则地区,萨嘎县,,,542337000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,540000000000,542300000000,542337000000
485,486,广东省,茂名市,茂港区,,,440903000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,440000000000,440900000000,440903000000
583,584,四川省,眉山市,彭山县,,,511422000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,510000000000,511400000000,511422000000
592,593,西藏自治区,日喀则地区,聂拉木县,,,542336000000,12/21/2017 11:18:26,12/21/2017 14:53:14,12/31/2013,撤销,540000000000,542300000000,542336000000
