,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
76,77,四川省,眉山市,彭山区,,,511403000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,510000000000,511400000000,511403000000
99,100,西藏自治区,昌都市,八宿县,,,540326000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540326000000
182,183,海南省,三亚市,海棠区,,,460202000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,460000000000,460200000000,460202000000
218,219,西藏自治区,昌都市,边坝县,,,540330000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540330000000
225,226,西藏自治区,日喀则市,拉孜县,,,540225000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540225000000
240,241,河北省,石家庄市,藁城区,,,130109000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,130000000000,130100000000,130109000000
300,301,贵州省,安顺市,平坝区,,,520403000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,520000000000,520400000000,520403000000
330,331,西藏自治区,日喀则市,桑珠孜区,,,540202000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540202000000
471,472,西藏自治区,日喀则市,南木林县,,,540221000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540221000000
497,498,西藏自治区,日喀则市,吉隆县,,,540234000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540234000000
505,506,吉林省,长春市,九台区,,,220113000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,220000000000,220100000000,220113000000
516,517,西藏自治区,日喀则市,聂拉木县,,,540235000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540235000000
536,537,西藏自治区,日喀则市,康马县,,,540230000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540230000000
566,567,西藏自治区,日喀则市,昂仁县,,,540226000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540226000000
608,609,西藏自治区,昌都市,贡觉县,,,540322000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540322000000
659,660,西藏自治区,昌都市,左贡县,,,540327000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540327000000
682,683,西藏自治区,昌都市,察雅县,,,540325000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540325000000
759,760,西藏自治区,昌都市,江达县,,,540321000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540321000000
831,832,山东省,德州市,陵城区,,,371403000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,370000000000,371400000000,371403000000
962,963,西藏自治区,日喀则市,仁布县,,,540229000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540229000000
974,975,西藏自治区,日喀则市,亚东县,,,540233000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540233000000
1023,1024,新疆维吾尔自治区,,双河市,,,659007000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,650000000000,659000000000,659007000000
1028,1029,福建省,龙岩市,永定区,,,350803000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,350000000000,350800000000,350803000000
1282,1283,黑龙江省,哈尔滨市,双城区,,,230113000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,230000000000,230100000000,230113000000
1344,1345,海南省,三亚市,崖州区,,,460205000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,460000000000,460200000000,460205000000
1366,1367,海南省,三亚市,吉阳区,,,460203000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,460000000000,460200000000,460203000000
1438,1439,重庆市,,铜梁区,,,500151000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,500000000000,500100000000,500151000000
1447,1448,广东省,广州市,从化区,,,440117000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,440000000000,440100000000,440117000000
1459,1460,河北省,石家庄市,鹿泉区,,,130110000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,130000000000,130100000000,130110000000
1592,1593,西藏自治区,日喀则市,岗巴县,,,540237000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540237000000
1613,1614,福建省,南平市,建阳区,,,350703000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,350000000000,350700000000,350703000000
1654,1655,江苏省,连云港市,赣榆区,,,320707000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,320000000000,320700000000,320707000000
1657,1658,湖北省,十堰市,郧阳区,,,420304000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,420000000000,420300000000,420304000000
1684,1685,河北省,石家庄市,栾城区,,,130111000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,130000000000,130100000000,130111000000
1710,1711,西藏自治区,昌都市,,,,540300000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540300000000
1785,1786,西藏自治区,日喀则市,仲巴县,,,540232000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540232000000
1806,1807,西藏自治区,日喀则市,白朗县,,,540228000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540228000000
1886,1887,西藏自治区,日喀则市,定日县,,,540223000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540200000000,540223000000
1892,1893,山东省,临沂市,兰陵县,,,371324000000,12/21/2017 11:18:21,12/21/2017 16:04:50,,名称变更,370000000000,371300000000,371324000000
1905,1906,山东省,滨州市,沾化区,,,371603000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,370000000000,371600000000,371603000000
1916,1917,河南省,开封市,祥符区,,,410212000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,410000000000,410200000000,410212000000
1938,1939,广东省,阳江市,阳东区,,,441704000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,440000000000,441700000000,441704000000
2011,2012,陕西省,西安市,高陵区,,,610117000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,610000000000,610100000000,610117000000
2034,2035,浙江省,杭州市,富阳区,,,330111000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,330000000000,330100000000,330111000000
2048,2049,西藏自治区,昌都市,芒康县,,,540328000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540328000000
2067,2068,西藏自治区,昌都市,类乌齐县,,,540323000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,540000000000,540300000000,540323000000
