,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
0,54,55,辽宁省,大连市,普兰店区,,,210214000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,210000000000,210200000000,210214000000
1,101,102,安徽省,六安市,叶集区,,,341504000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,340000000000,341500000000,341504000000
2,140,141,云南省,玉溪市,江川区,,,530403000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,530000000000,530400000000,530403000000
4,175,176,安徽省,铜陵市,铜官区,,,340705000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,340000000000,340700000000,340705000000
5,234,235,河北省,保定市,清苑区,,,130608000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,130000000000,130600000000,130608000000
7,333,334,河北省,秦皇岛市,抚宁区,,,130306000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,130000000000,130300000000,130306000000
8,336,337,西藏自治区,林芝市,米林县,,,540422000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540422000000
9,398,399,陕西省,渭南市,华州区,,,610503000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,610000000000,610500000000,610503000000
10,402,403,江苏省,无锡市,新吴区,,,320214000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,320000000000,320200000000,320214000000
12,688,689,广西壮族自治区,南宁市,武鸣区,,,450110000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,450000000000,450100000000,450110000000
13,845,846,青海省,海东市,平安区,,,630203000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,630000000000,630200000000,630203000000
14,852,853,河北省,保定市,竞秀区,,,130602000000,12/21/2017 11:18:15,12/21/2017 16:05:11,,名称变更,130000000000,130600000000,130602000000
16,990,991,西藏自治区,林芝市,朗县,,,540426000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540426000000
17,998,999,浙江省,温州市,洞头区,,,330305000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,330000000000,330300000000,330305000000
18,1054,1055,广西壮族自治区,百色市,靖西市,,,451081000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,450000000000,451000000000,451081000000
19,1104,1105,云南省,保山市,腾冲市,,,530581000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,530000000000,530500000000,530581000000
20,1266,1267,黑龙江省,牡丹江市,东宁市,,,231086000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,230000000000,231000000000,231086000000
21,1276,1277,安徽省,铜陵市,义安区,,,340706000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,340000000000,340700000000,340706000000
22,1281,1282,河南省,三门峡市,陕州区,,,411203000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,410000000000,411200000000,411203000000
23,1314,1315,安徽省,淮南市,寿县,,,340422000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,340000000000,340400000000,340422000000
24,1385,1386,新疆维吾尔自治区,吐鲁番市,鄯善县,,,650421000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,650000000000,650400000000,650421000000
26,1684,1685,河北省,保定市,莲池区,,,130606000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,130000000000,130600000000,130606000000
28,1919,1920,广东省,肇庆市,高要区,,,441204000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,440000000000,441200000000,441204000000
29,1975,1976,西藏自治区,林芝市,察隅县,,,540425000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540425000000
30,1996,1997,西藏自治区,林芝市,波密县,,,540424000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540424000000
31,2054,2055,陕西省,榆林市,横山区,,,610803000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,610000000000,610800000000,610803000000
32,2086,2087,四川省,成都市,双流区,,,510116000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,510000000000,510100000000,510116000000
33,2229,2230,江苏省,盐城市,大丰区,,,320904000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,320000000000,320900000000,320904000000
34,2283,2284,江苏省,无锡市,梁溪区,,,320213000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,320000000000,320200000000,320213000000
35,2303,2304,新疆维吾尔自治区,吐鲁番市,高昌区,,,650402000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,650000000000,650400000000,650402000000
36,2356,2357,西藏自治区,拉萨市,堆龙德庆区,,,540103000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540100000000,540103000000
37,2365,2366,四川省,甘孜藏族自治州,康定市,,,513301000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,510000000000,513300000000,513301000000
39,2441,2442,四川省,阿坝藏族羌族自治州,马尔康区,,,513201000000,12/21/2017 11:18:15,12/21/2017 16:05:31,12/31/2015,名称变更,510000000000,513200000000,513201000000
42,2572,2573,河北省,保定市,满城区,,,130607000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,130000000000,130600000000,130607000000
43,2611,2612,西藏自治区,林芝市,巴宜区,,,540402000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540402000000
44,2627,2628,江西省,上饶市,广丰区,,,361103000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,360000000000,361100000000,361103000000
45,2671,2672,西藏自治区,林芝市,工布江达县,,,540421000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540421000000
46,2687,2688,安徽省,铜陵市,枞阳县,,,340722000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,340000000000,340700000000,340722000000
47,2731,2732,西藏自治区,林芝市,墨脱县,,,540423000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540423000000
48,2830,2831,河北省,保定市,徐水区,,,130609000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,130000000000,130600000000,130609000000
49,2840,2841,江西省,南昌市,新建区,,,360112000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,360000000000,360100000000,360112000000
50,2860,2861,新疆维吾尔自治区,吐鲁番市,托克逊县,,,650422000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,650000000000,650400000000,650422000000
51,2931,2932,江苏省,常州市,金坛区,,,320413000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,320000000000,320400000000,320413000000
