,province,city,area,code_num,code_province,code_city,code_area
0,吉林省,长春市,德惠市,220183000000,220000000000,220100000000,220183000000
1,宁夏回族自治区,吴忠市,红寺堡区,640303000000,640000000000,640300000000,640303000000
2,四川省,成都市,青羊区,510105000000,510000000000,510100000000,510105000000
3,山东省,东营市,广饶县,370523000000,370000000000,370500000000,370523000000
4,山西省,长治市,城区,140402000000,140000000000,140400000000,140402000000
5,江西省,萍乡市,莲花县,360321000000,360000000000,360300000000,360321000000
6,河北省,保定市,顺平县,130636000000,130000000000,130600000000,130636000000
7,黑龙江省,哈尔滨市,依兰县,230123000000,230000000000,230100000000,230123000000
8,湖南省,衡阳市,南岳区,430412000000,430000000000,430400000000,430412000000
9,江西省,宜春市,铜鼓县,360926000000,360000000000,360900000000,360926000000
10,江苏省,连云港市,灌云县,320723000000,320000000000,320700000000,320723000000
11,山东省,潍坊市,高密市,370785000000,370000000000,370700000000,370785000000
12,山西省,太原市,娄烦县,140123000000,140000000000,140100000000,140123000000
13,辽宁省,丹东市,振兴区,210603000000,210000000000,210600000000,210603000000
14,湖南省,邵阳市,新邵县,430522000000,430000000000,430500000000,430522000000
15,黑龙江省,牡丹江市,海林市,231083000000,230000000000,231000000000,231083000000
16,福建省,南平市,松溪县,350724000000,350000000000,350700000000,350724000000
17,安徽省,马鞍山市,含山县,340522000000,340000000000,340500000000,340522000000
18,甘肃省,陇南市,武都区,621202000000,620000000000,621200000000,621202000000
19,广东省,茂名市,高州市,440981000000,440000000000,440900000000,440981000000
20,河北省,邢台市,任县,130526000000,130000000000,130500000000,130526000000
21,黑龙江省,鹤岗市,向阳区,230402000000,230000000000,230400000000,230402000000
22,贵州省,遵义市,红花岗区,520302000000,520000000000,520300000000,520302000000
23,浙江省,台州市,天台县,331023000000,330000000000,331000000000,331023000000
24,四川省,乐山市,沐川县,511129000000,510000000000,511100000000,511129000000
25,福建省,福州市,闽清县,350124000000,350000000000,350100000000,350124000000
26,河南省,新乡市,长垣县,410728000000,410000000000,410700000000,410728000000
27,贵州省,毕节市,黔西县,520522000000,520000000000,520500000000,520522000000
28,河南省,商丘市,夏邑县,411426000000,410000000000,411400000000,411426000000
29,云南省,迪庆藏族自治州,维西傈僳族自治县,533423000000,530000000000,533400000000,533423000000
30,湖北省,武汉市,汉阳区,420105000000,420000000000,420100000000,420105000000
31,江西省,抚州市,崇仁县,361024000000,360000000000,361000000000,361024000000
32,四川省,绵阳市,安州区,510705000000,510000000000,510700000000,510705000000
33,新疆维吾尔自治区,塔城地区,沙湾县,654223000000,650000000000,654200000000,654223000000
34,广西壮族自治区,玉林市,容县,450921000000,450000000000,450900000000,450921000000
35,四川省,乐山市,井研县,511124000000,510000000000,511100000000,511124000000
36,安徽省,宣城市,旌德县,341825000000,340000000000,341800000000,341825000000
37,河北省,石家庄市,晋州市,130183000000,130000000000,130100000000,130183000000
38,江苏省,宿迁市,宿豫区,321311000000,320000000000,321300000000,321311000000
39,湖北省,十堰市,房县,420325000000,420000000000,420300000000,420325000000
40,内蒙古自治区,赤峰市,敖汉旗,150430000000,150000000000,150400000000,150430000000
41,辽宁省,大连市,普兰店区,210214000000,210000000000,210200000000,210214000000
42,甘肃省,张掖市,高台县,620724000000,620000000000,620700000000,620724000000
43,山西省,晋中市,和顺县,140723000000,140000000000,140700000000,140723000000
44,河北省,保定市,定州市,130682000000,130000000000,130600000000,130682000000
45,陕西省,渭南市,潼关县,610522000000,610000000000,610500000000,610522000000
46,西藏自治区,那曲地区,班戈县,542428000000,540000000000,542400000000,542428000000
47,陕西省,安康市,汉滨区,610902000000,610000000000,610900000000,610902000000
48,河北省,邢台市,邢台县,130521000000,130000000000,130500000000,130521000000
49,广西壮族自治区,百色市,德保县,451024000000,450000000000,451000000000,451024000000
50,贵州省,黔东南苗族侗族自治州,从江县,522633000000,520000000000,522600000000,522633000000
51,江苏省,苏州市,姑苏区,320508000000,320000000000,320500000000,320508000000
52,浙江省,绍兴市,上虞区,330604000000,330000000000,330600000000,330604000000
53,福建省,泉州市,洛江区,350504000000,350000000000,350500000000,350504000000
54,广东省,珠海市,斗门区,440403000000,440000000000,440400000000,440403000000
55,陕西省,延安市,富县,610628000000,610000000000,610600000000,610628000000
56,湖北省,黄冈市,英山县,421124000000,420000000000,421100000000,421124000000
57,江苏省,常州市,天宁区,320402000000,320000000000,320400000000,320402000000
58,四川省,阿坝藏族羌族自治州,壤塘县,513230000000,510000000000,513200000000,513230000000
59,贵州省,黔东南苗族侗族自治州,剑河县,522629000000,520000000000,522600000000,522629000000
60,安徽省,蚌埠市,龙子湖区,340302000000,340000000000,340300000000,340302000000
61,广东省,梅州市,蕉岭县,441427000000,440000000000,441400000000,441427000000
62,四川省,眉山市,彭山区,511403000000,510000000000,511400000000,511403000000
63,四川省,南充市,阆中市,511381000000,510000000000,511300000000,511381000000
64,四川省,广安市,邻水县,511623000000,510000000000,511600000000,511623000000
65,广西壮族自治区,桂林市,阳朔县,450321000000,450000000000,450300000000,450321000000
66,贵州省,铜仁市,石阡县,520623000000,520000000000,520600000000,520623000000
67,安徽省,阜阳市,阜南县,341225000000,340000000000,341200000000,341225000000
68,陕西省,延安市,黄陵县,610632000000,610000000000,610600000000,610632000000
69,河南省,信阳市,淮滨县,411527000000,410000000000,411500000000,411527000000
70,河北省,保定市,望都县,130631000000,130000000000,130600000000,130631000000
71,辽宁省,沈阳市,沈北新区,210113000000,210000000000,210100000000,210113000000
72,江西省,上饶市,横峰县,361125000000,360000000000,361100000000,361125000000
73,河南省,商丘市,民权县,411421000000,410000000000,411400000000,411421000000
74,湖南省,邵阳市,绥宁县,430527000000,430000000000,430500000000,430527000000
75,湖南省,娄底市,双峰县,431321000000,430000000000,431300000000,431321000000
76,四川省,巴中市,巴州区,511902000000,510000000000,511900000000,511902000000
77,云南省,曲靖市,宣威市,530381000000,530000000000,530300000000,530381000000
78,甘肃省,平凉市,庄浪县,620825000000,620000000000,620800000000,620825000000
79,湖北省,宜昌市,当阳市,420582000000,420000000000,420500000000,420582000000
80,西藏自治区,昌都市,八宿县,540326000000,540000000000,540300000000,540326000000
81,安徽省,六安市,叶集区,341504000000,340000000000,341500000000,341504000000
82,江西省,宜春市,奉新县,360921000000,360000000000,360900000000,360921000000
83,陕西省,宝鸡市,渭滨区,610302000000,610000000000,610300000000,610302000000
84,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,652827000000,650000000000,652800000000,652827000000
