id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
1,,,新设街道,110105044000,东湖街道,12/21/2017 11:19:57,12/21/2017 11:19:57
2,,,新设街道,110115011000,高米店街道,12/21/2017 11:19:57,12/21/2017 11:19:57
3,,,新设街道,110115012000,荣华街道,12/21/2017 11:19:57,12/21/2017 11:19:57
4,,,新设街道,110115013000,博兴街道,12/21/2017 11:19:57,12/21/2017 11:19:57
5,120110011000,华明新家园街道,更名,,华新街道,12/21/2017 11:19:57,12/21/2017 11:19:57
6,120101003000,体育馆街道,更名,,五大道街道,12/21/2017 11:19:57,12/21/2017 11:19:57
7,130223100000,滦州镇,撤镇建街道,130223003000,滦城路街道,12/21/2017 11:19:57,12/21/2017 11:19:57
8,130223101000,响嘡镇,撤镇建街道,130223004000,响嘡街道,12/21/2017 11:19:57,12/21/2017 11:19:57
9,130132203000,北褚乡,撤乡建镇,130132106000,北褚镇,12/21/2017 11:19:57,12/21/2017 11:19:57
10,130531206000,冯家寨乡,撤乡建镇,130531101000,冯家寨镇,12/21/2017 11:19:57,12/21/2017 11:19:57
11,130533200000,方家营乡,撤乡建镇,130533106000,方家营镇,12/21/2017 11:19:57,12/21/2017 11:19:57
12,130535202000,吕寨乡,撤乡建镇,130535105000,吕寨镇,12/21/2017 11:19:57,12/21/2017 11:19:57
13,130591200000,留村乡,撤乡建镇,130591104000,留村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
14,130681202000,义和庄乡,撤乡建镇,130681106000,义和庄镇,12/21/2017 11:19:57,12/21/2017 11:19:57
15,130926201000,师素乡,撤乡建镇,130926105000,师素镇,12/21/2017 11:19:57,12/21/2017 11:19:57
16,130421104000,户村镇,区划变更,130404100000,户村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
17,130421204000,康庄乡,区划变更,130404201000,康庄乡,12/21/2017 11:19:57,12/21/2017 11:19:57
18,150703006000,灵泉街道,撤街道建镇,150703100000,灵泉镇,12/21/2017 11:19:57,12/21/2017 11:19:57
19,150781011000,新开河街道,撤街道建镇,150781100000,新开河镇,12/21/2017 11:19:57,12/21/2017 11:19:57
20,211481211000,高家岭满族乡,撤乡建镇,211481108000,高家岭镇,12/21/2017 11:19:57,12/21/2017 11:19:57
21,210782112000,沟帮子镇,撤镇建街道,210782008000,沟帮子街道,12/21/2017 11:19:57,12/21/2017 11:19:57
22,211102006000,石油街道,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
23,,,新设镇,211102101000,统一镇,12/21/2017 11:19:57,12/21/2017 11:19:57
24,210727202000,头道河满族乡,撤乡建镇,210727112000,头道河镇,12/21/2017 11:19:57,12/21/2017 11:19:57
25,210727204000,留龙沟满族乡,撤乡建镇,210727113000,留龙沟镇,12/21/2017 11:19:57,12/21/2017 11:19:57
26,210727208000,聚粮屯满族乡,撤乡建镇,210727114000,聚粮屯镇,12/21/2017 11:19:57,12/21/2017 11:19:57
27,210702203000,钟屯乡,撤乡建街道,210702010000,钟屯街道,12/21/2017 11:19:57,12/21/2017 11:19:57
28,,,新设街道,210782009000,沙河子街道,12/21/2017 11:19:57,12/21/2017 11:19:57
29,,,新设街道,210403013000,抚东街道,12/21/2017 11:19:57,12/21/2017 11:19:57
30,,,新设街道,211322006000,东城街道,12/21/2017 11:19:57,12/21/2017 11:19:57
31,,,新设街道,211322007000,新城街道,12/21/2017 11:19:57,12/21/2017 11:19:57
32,,,新设街道,211404009000,龙飞街道,12/21/2017 11:19:57,12/21/2017 11:19:57
33,,,新设街道,211404010000,龙腾街道,12/21/2017 11:19:57,12/21/2017 11:19:57
34,,,新设街道,211404011000,龙祥街道,12/21/2017 11:19:57,12/21/2017 11:19:57
35,,,新设街道,210202018000,东港街道,12/21/2017 11:19:57,12/21/2017 11:19:57
36,211324205000,东哨乡,撤乡建镇,211324114000,东哨镇,12/21/2017 11:19:57,12/21/2017 11:19:57
37,211324215000,水泉乡,撤乡建镇,211324115000,水泉镇,12/21/2017 11:19:57,12/21/2017 11:19:57
38,211382209000,牛营子乡,撤乡建镇,211382116000,牛营子镇,12/21/2017 11:19:57,12/21/2017 11:19:57
39,211321218000,胜利乡,撤乡建镇,211321114000,胜利镇,12/21/2017 11:19:57,12/21/2017 11:19:57
40,211321225000,七道岭乡,撤乡建镇,211321115000,七道岭镇,12/21/2017 11:19:57,12/21/2017 11:19:57
41,211322213000,太平庄乡,撤乡建镇,211322119000,太平庄镇,12/21/2017 11:19:57,12/21/2017 11:19:57
42,211321109000,柳城镇,撤镇建街道,211321001000,柳城街道,12/21/2017 11:19:57,12/21/2017 11:19:57
43,220721207000,新立乡,名称变更,220721207000,白依拉嘎乡,12/21/2017 11:19:57,12/21/2017 11:19:57
44,220721209000,大山乡,名称变更,220721209000,额如乡,12/21/2017 11:19:57,12/21/2017 11:19:57
45,220721214000,孤店乡,名称变更,220721214000,浩特芒哈乡,12/21/2017 11:19:57,12/21/2017 11:19:57
46,230602001000,萨尔图街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
47,230602005000,铁人街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
48,230602006000,友谊街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
49,230602007000,富强街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
50,230602008000,拥军街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
51,230602009000,会战街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
52,230602010000,火炬街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
53,230602011000,东风街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
54,230602012000,东安街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
55,230603001000,龙凤街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
56,230603002000,兴化村街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
57,230603007000,卧里屯街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
58,230603008000,东光街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
59,230603009000,三永街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
60,230603010000,开发区黎明街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
61,230604001000,龙岗街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
62,230604002000,银浪街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
63,230604004000,奋斗街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
64,230604005000,庆新街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
65,230604007000,西宾街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
66,230604009000,乘风街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
67,230605001000,红岗街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
68,230605004000,八百垧街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
69,230605005000,杏南街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
70,230605006000,解放街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
71,230605007000,创业街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
72,230606001000,庆葡街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
73,230606005000,立志街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
74,230606006000,新华街道,撤街道设社区工作站,,,12/21/2017 11:19:57,12/21/2017 11:19:57
75,230111113000,长岭镇,撤镇建街道,230111009000,长岭街道,12/21/2017 11:19:57,12/21/2017 11:19:57
